sequence,method,valid_for_primary,validity_note,ate_rmse_m,ate_median_m,rpe_10m_rmse_m,gt_coverage,associated_span_s,wall_time_s,peak_rss_mb,loop_precision,loop_recall,loops_accepted,loops_applied
Grass02,legacy,True,,0.4364303739344988,0.2243146303885739,0.7381872082471715,0.9869352204681546,170.6099021434784,276.356163,1346.86328125,,,,
Grass02,lightning_final,True,,0.4297347142313435,0.2100972636969327,0.7363480015164067,0.9869352204681546,170.6099021434784,112.327147,1849.39453125,0.0,0.0,3,0
Grass02,ws_voxel_slam,True,,0.43132164716763594,0.21451441795059434,0.7304750516625734,0.9918345127925966,171.40771484375,192.941688,1746.74609375,,0.0,,
Outdoor04,legacy,True,,5.457017054470047,2.823635401094283,1.7754656890282097,0.997793468667255,780.4890630245209,929.241311,4693.3125,,,,
Outdoor04,lightning_final,True,,0.4340823213941976,0.38038523617864795,0.16394296978595577,0.997793468667255,780.4890630245209,731.506492,6110.5390625,0.2222222222222222,0.2,9,1
Outdoor04,ws_voxel_slam,True,,0.28060605222970636,0.2516166864444286,0.10866669942557923,0.9982347749338041,781.2849140167236,823.540562,3680.328125,,0.0,,
Outdoor01,legacy,True,,7.306665627813064,6.327232033768501,1.7037407655461347,0.9940580216707445,409.2057800292969,325.60561,1696.1015625,,,,
Outdoor01,lightning_final,True,,6.988136174770719,4.514769460594534,2.158655762077031,0.9940580216707445,409.2057800292969,449.007874,2030.5625,,0.0,0,0
Outdoor01,ws_voxel_slam,False,Only the final reset segment is present: 67.60 s and 16.22% RTK coverage.,0.03459316071439742,0.030521044871512075,0.04005070330937443,0.16218105557497378,67.603600025177,512.189322,1365.68359375,,,,
Z-Rough-Road01,legacy,True,,12.060390563882851,5.752146095235016,4.983832528160547,0.9959448499594485,531.1981339454651,465.516721,3496.8828125,,,,
Z-Rough-Road01,lightning_final,True,,12.565310647191144,6.400209638095317,4.905697082889264,0.9959448499594485,531.1981339454651,462.002443,4831.50390625,,0.0,0,0
Z-Rough-Road01,ws_voxel_slam,True,,0.2948280673404992,0.22972232555232974,0.11683757069731997,0.9978372533117059,532.1990461349487,568.89386,3223.140625,,0.0,,
Dark01,legacy,True,,4.871884589406815,4.375662564308673,2.361308528177478,0.9893816364772018,203.98153400421143,143.089088,517.0234375,,,,
Dark01,lightning_final,True,,0.17943519224665827,0.1706816358321162,0.14302521231785129,0.9893816364772018,203.98153400421143,130.373465,652.92578125,,0.0,0,0
Dark01,ws_voxel_slam,True,,0.17383410303926172,0.17232182142308317,0.13328878862611174,0.9931292941911305,204.58548307418823,225.211465,601.9921875,,0.0,,
