sequence,method,valid_for_primary,validity_note,ate_rmse_m,ate_median_m,rpe_10m_rmse_m,gt_coverage,associated_span_s,wall_time_s,peak_rss_mb,loop_precision,loop_recall,loops_accepted,loops_applied,hba_runs,hba_accepted,config_sha256,binary_sha256,completion,algorithm_rc
Grass02,legacy,True,,0.4364303739344988,0.2243146303885739,0.7381872082471715,0.9869352204681546,170.6099021434784,276.356163,1346.86328125,,,,,,,7ed957af37902ab7720f367f39787d45d219a051dc9c137c5cc1a5196e3d9e21,0fd3b56113b623571519a06fe9e4f9ab0aa910692b424837ee836d90ff34e953,reached_final_lidar,0.0
Grass02,lightning_previous,True,,0.4297347142313435,0.2100972636969327,0.7363480015164067,0.9869352204681546,170.6099021434784,112.327147,1849.39453125,0.0,0.0,3,0,4,0,50fffe9c3d7c8d63c9ea2c4ca54f4142874135237fed14d836790921c36b6dc8,90e0aba4baf0208ea9454dfe896b19633cb4aa4cdef78a8ffffe50dce7622c42,reached_final_lidar,0.0
Grass02,lightning_current,True,,0.42525609315078194,0.20618741052742223,0.729361177302379,0.9869352204681546,170.6099021434784,138.523465,1468.03515625,,0.0,0,0,1,0,72c952017719fb7530bda6f977afbf6ec4294474518e5670a4c4e1a38b2a88cf,77268cd64994e7a66344e2b3e38b477a519cca2990bdcf7b28e7d1c0d11760a4,reached_final_lidar,0.0
Grass02,ws_voxel_slam,True,,0.43132164716763594,0.21451441795059434,0.7304750516625734,0.9918345127925966,171.40771484375,192.941688,1746.74609375,,0.0,,,,,,,,
Outdoor04,legacy,True,,5.457017054470047,2.823635401094283,1.7754656890282097,0.997793468667255,780.4890630245209,929.241311,4693.3125,,,,,,,75fb3f873e15d411645c02095c914f23460e584b103dcf6e71d65aed1bc16202,a31866c6496ff3c97cf6f8eff1d976044bca8f9ce38036704c967ec48d601e4c,reached_final_lidar,0.0
Outdoor04,lightning_previous,True,,0.4340823213941976,0.38038523617864795,0.16394296978595577,0.997793468667255,780.4890630245209,731.506492,6110.5390625,0.2222222222222222,0.2,9,1,10,4,8cd9d94f9b66c4c992085bc1926d208b8c3cca34013cba55c8765aa918242cac,77268cd64994e7a66344e2b3e38b477a519cca2990bdcf7b28e7d1c0d11760a4,reached_final_lidar,0.0
Outdoor04,lightning_current,True,,0.38301488836760433,0.32727291159752775,0.12729401978317836,0.997793468667255,780.4890630245209,663.470051,5337.3359375,1.0,0.2,1,0,1,0,72c952017719fb7530bda6f977afbf6ec4294474518e5670a4c4e1a38b2a88cf,77268cd64994e7a66344e2b3e38b477a519cca2990bdcf7b28e7d1c0d11760a4,reached_final_lidar,0.0
Outdoor04,ws_voxel_slam,True,,0.28060605222970636,0.2516166864444286,0.10866669942557923,0.9982347749338041,781.2849140167236,823.540562,3680.328125,,0.0,,,,,,,,
Z-Rough-Road01,legacy,True,,12.060390563882851,5.752146095235016,4.983832528160547,0.9959448499594485,531.1981339454651,465.516721,3496.8828125,,,,,,,0e27b891cef83d441be8c29653022f466a14e2d6f9d4beaf3235c3649e7d4712,1aeb0f33e1d82aac320bbf5f53a2bd80c9e955b4f275638992ece7d621932cac,reached_final_lidar,0.0
Z-Rough-Road01,lightning_previous,True,,12.565310647191144,6.400209638095317,4.905697082889264,0.9959448499594485,531.1981339454651,462.002443,4831.50390625,,0.0,0,0,1,0,8cd9d94f9b66c4c992085bc1926d208b8c3cca34013cba55c8765aa918242cac,77268cd64994e7a66344e2b3e38b477a519cca2990bdcf7b28e7d1c0d11760a4,reached_final_lidar,0.0
Z-Rough-Road01,lightning_current,True,,0.3915568210892873,0.246309438482206,0.13470360132642484,0.9959448499594485,531.1981339454651,579.328038,3858.82421875,,0.0,0,0,1,0,72c952017719fb7530bda6f977afbf6ec4294474518e5670a4c4e1a38b2a88cf,77268cd64994e7a66344e2b3e38b477a519cca2990bdcf7b28e7d1c0d11760a4,reached_final_lidar,0.0
Z-Rough-Road01,ws_voxel_slam,True,,0.2948280673404992,0.22972232555232974,0.11683757069731997,0.9978372533117059,532.1990461349487,568.89386,3223.140625,,0.0,,,,,,,,
Dark01,legacy,True,,4.871884589406815,4.375662564308673,2.361308528177478,0.9893816364772018,203.98153400421143,143.089088,517.0234375,,,,,,,0e27b891cef83d441be8c29653022f466a14e2d6f9d4beaf3235c3649e7d4712,1aeb0f33e1d82aac320bbf5f53a2bd80c9e955b4f275638992ece7d621932cac,reached_final_lidar,0.0
Dark01,lightning_previous,True,,0.17943519224665827,0.1706816358321162,0.14302521231785129,0.9893816364772018,203.98153400421143,130.373465,652.92578125,,0.0,0,0,1,0,50fffe9c3d7c8d63c9ea2c4ca54f4142874135237fed14d836790921c36b6dc8,90e0aba4baf0208ea9454dfe896b19633cb4aa4cdef78a8ffffe50dce7622c42,reached_final_lidar,0.0
Dark01,lightning_current,True,,0.17285373598054424,0.16694832104992524,0.1397717961919914,0.9893816364772018,203.98153400421143,374.790083,621.13671875,,0.0,0,0,1,0,72c952017719fb7530bda6f977afbf6ec4294474518e5670a4c4e1a38b2a88cf,77268cd64994e7a66344e2b3e38b477a519cca2990bdcf7b28e7d1c0d11760a4,reached_final_lidar,0.0
Dark01,ws_voxel_slam,True,,0.17383410303926172,0.17232182142308317,0.13328878862611174,0.9931292941911305,204.58548307418823,225.211465,601.9921875,,0.0,,,,,,,,
