config,config_label,repeat,user_s,system_s,cpu_percent,peak_rss_kib,wall_time_s,average_cpu_cores,cpu_pct_of_8_core_allocation,peak_rss_mib
C0_single114_noise,C0 单雷达,repeat_01,46.12,12.24,75.0,857096.0,77.63,0.75,9.375,837.0078125
C0_single114_noise,C0 单雷达,repeat_02,46.81,11.24,54.0,857156.0,105.61,0.54,6.75,837.06640625
C0_single114_noise,C0 单雷达,repeat_03,45.24,12.89,75.0,857240.0,76.52,0.75,9.375,837.1484375
C1_four_noise,C1 四雷达主方案,repeat_01,150.63,13.82,113.0,3257528.0,144.74,1.13,14.125,3181.1796875
C1_four_noise,C1 四雷达主方案,repeat_02,151.53,14.14,113.0,3258100.0,146.28,1.13,14.125,3181.73828125
C1_four_noise,C1 四雷达主方案,repeat_03,150.26,14.18,116.0,3258572.0,141.66,1.16,14.5,3182.19921875
C2_four_no_noise,C2 四雷达无噪声模型,repeat_01,143.65,17.45,109.0,3999920.0,146.99,1.09,13.625,3906.171875
C2_four_no_noise,C2 四雷达无噪声模型,repeat_02,142.1,15.85,103.0,4000152.0,153.11,1.03,12.875,3906.3984375
C2_four_no_noise,C2 四雷达无噪声模型,repeat_03,142.93,18.27,116.0,3999612.0,138.81,1.16,14.5,3905.87109375
C3_drop114_lidar,C3 缺前雷达,repeat_01,116.73,14.56,123.0,2227012.0,106.44,1.23,15.375,2174.81640625
C3_drop114_lidar,C3 缺前雷达,repeat_02,118.48,12.62,99.0,2224560.0,131.9,0.99,12.375,2172.421875
C3_drop114_lidar,C3 缺前雷达,repeat_03,118.09,14.0,97.0,2227188.0,135.33,0.97,12.125,2174.98828125
C4_drop127,C4 缺右雷达,repeat_01,121.96,13.49,114.0,2065564.0,117.96000000000001,1.14,14.25,2017.15234375
C4_drop127,C4 缺右雷达,repeat_02,121.52,13.05,105.0,2057016.0,127.8,1.05,13.125,2008.8046875
C4_drop127,C4 缺右雷达,repeat_03,121.8,13.89,115.0,2062332.0,117.94,1.15,14.375,2013.99609375
C5_drop187,C5 缺左雷达,repeat_01,129.69,14.78,114.0,2448316.0,125.72,1.14,14.25,2390.93359375
C5_drop187,C5 缺左雷达,repeat_02,130.31,13.17,104.0,2439972.0,136.79,1.04,13.0,2382.78515625
C5_drop187,C5 缺左雷达,repeat_03,128.89,14.2,126.0,2450292.0,112.85,1.26,15.75,2392.86328125
C6_drop195,C6 缺后雷达,repeat_01,121.45,13.26,114.0,2087680.0,117.92,1.14,14.25,2038.75
C6_drop195,C6 缺后雷达,repeat_02,121.4,14.42,99.0,2090932.0,136.49,0.99,12.375,2041.92578125
C6_drop195,C6 缺后雷达,repeat_03,121.4,13.15,126.0,2090628.0,106.15,1.26,15.75,2041.62890625
