config,config_label,repeat,stage_label,stage,average_ms,median_ms,p95_ms,retained_samples
C0_single114_noise,C0 单雷达,repeat_01,IVox 加点,IVox Add Points,0.0406639,0.032849,0.078411,1082
C0_single114_noise,C0 单雷达,repeat_01,增量建图,Incremental Mapping,0.166232,0.158837,0.220302,1082
C0_single114_noise,C0 单雷达,repeat_01,激光观测匹配,ObsModel (Lidar Match),1.37615,1.27914,1.91115,2000
C0_single114_noise,C0 单雷达,repeat_01,点云预处理,Preprocess (Standard),0.0987138,0.088271,0.147229,1203
C0_single114_noise,C0 单雷达,repeat_01,点云去畸变,Undistort Pcl,0.369757,0.374834,0.431378,1083
C0_single114_noise,C0 单雷达,repeat_02,IVox 加点,IVox Add Points,0.0488512,0.040145,0.10044,1082
C0_single114_noise,C0 单雷达,repeat_02,增量建图,Incremental Mapping,0.177513,0.167805,0.25525,1082
C0_single114_noise,C0 单雷达,repeat_02,激光观测匹配,ObsModel (Lidar Match),1.31723,1.24438,1.84962,2000
C0_single114_noise,C0 单雷达,repeat_02,点云预处理,Preprocess (Standard),0.0995768,0.089383,0.140104,1203
C0_single114_noise,C0 单雷达,repeat_02,点云去畸变,Undistort Pcl,0.371034,0.375617,0.430066,1083
C0_single114_noise,C0 单雷达,repeat_03,IVox 加点,IVox Add Points,0.042967,0.03519,0.082487,1082
C0_single114_noise,C0 单雷达,repeat_03,增量建图,Incremental Mapping,0.172469,0.16665,0.227667,1082
C0_single114_noise,C0 单雷达,repeat_03,激光观测匹配,ObsModel (Lidar Match),1.42007,1.30356,2.0303,2000
C0_single114_noise,C0 单雷达,repeat_03,点云预处理,Preprocess (Standard),0.102552,0.092006,0.146539,1203
C0_single114_noise,C0 单雷达,repeat_03,点云去畸变,Undistort Pcl,0.380195,0.380849,0.441592,1083
C1_four_noise,C1 四雷达主方案,repeat_01,IVox 加点,IVox Add Points,0.126591,0.110929,0.230642,1082
C1_four_noise,C1 四雷达主方案,repeat_01,增量建图,Incremental Mapping,0.470033,0.447988,0.626148,1082
C1_four_noise,C1 四雷达主方案,repeat_01,激光观测匹配,ObsModel (Lidar Match),3.55186,3.42572,4.5986,2000
C1_four_noise,C1 四雷达主方案,repeat_01,点云预处理,Preprocess (Standard),0.250322,0.095239,0.749511,2000
C1_four_noise,C1 四雷达主方案,repeat_01,点云去畸变,Undistort Pcl,1.16915,1.15892,1.29616,1083
C1_four_noise,C1 四雷达主方案,repeat_02,IVox 加点,IVox Add Points,0.121291,0.104925,0.218628,1082
C1_four_noise,C1 四雷达主方案,repeat_02,增量建图,Incremental Mapping,0.456586,0.438456,0.595818,1082
C1_four_noise,C1 四雷达主方案,repeat_02,激光观测匹配,ObsModel (Lidar Match),3.45549,3.29934,4.58619,2000
C1_four_noise,C1 四雷达主方案,repeat_02,点云预处理,Preprocess (Standard),0.239272,0.091081,0.704105,2000
C1_four_noise,C1 四雷达主方案,repeat_02,点云去畸变,Undistort Pcl,1.14514,1.14193,1.22242,1083
C1_four_noise,C1 四雷达主方案,repeat_03,IVox 加点,IVox Add Points,0.118837,0.100951,0.215143,1082
C1_four_noise,C1 四雷达主方案,repeat_03,增量建图,Incremental Mapping,0.462381,0.442189,0.620032,1082
C1_four_noise,C1 四雷达主方案,repeat_03,激光观测匹配,ObsModel (Lidar Match),3.54341,3.36429,4.85455,2000
C1_four_noise,C1 四雷达主方案,repeat_03,点云预处理,Preprocess (Standard),0.241411,0.093642,0.704792,2000
C1_four_noise,C1 四雷达主方案,repeat_03,点云去畸变,Undistort Pcl,1.14559,1.14491,1.22681,1083
C2_four_no_noise,C2 四雷达无噪声模型,repeat_01,IVox 加点,IVox Add Points,0.962208,0.138779,5.71181,1082
C2_four_no_noise,C2 四雷达无噪声模型,repeat_01,增量建图,Incremental Mapping,1.32954,0.492516,6.16184,1082
C2_four_no_noise,C2 四雷达无噪声模型,repeat_01,激光观测匹配,ObsModel (Lidar Match),2.8783,2.74757,4.54762,2000
C2_four_no_noise,C2 四雷达无噪声模型,repeat_01,点云预处理,Preprocess (Standard),0.272792,0.090591,1.02137,2000
C2_four_no_noise,C2 四雷达无噪声模型,repeat_01,点云去畸变,Undistort Pcl,1.12399,1.12182,1.19172,1083
C2_four_no_noise,C2 四雷达无噪声模型,repeat_02,IVox 加点,IVox Add Points,0.92264,0.158229,5.27277,1082
